city,country,month,month_ar,imsak_time,futoor_time,data_source
Baghdad,Iraq,January,يناير,2024-01-01-05-38,2024-01-01-17-06,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2024
Baghdad,Iraq,February,فبراير,2024-02-01-05-34,2024-02-01-17-43,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2025
Baghdad,Iraq,March,اذار,2024-03-01-05-08,2024-03-01-18-00,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2026
Baghdad,Iraq,April,أبريل,2024-04-01-04-25,2024-04-01-18-24,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2027
Baghdad,Iraq,May,مايو,2024-05-01-03-42,2024-05-01-18-46,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2028
Baghdad,Iraq,June,يونيو,2024-06-01-03-13,2024-06-01-19-08,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2029
Baghdad,Iraq,July,يوليو,2024-07-01-03-15,2024-07-01-19-16,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2030
Baghdad,Iraq,August,أغسطس,2024-08-01-03-42,2024-08-01-19-02,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2031
Baghdad,Iraq,September,سبتمبر,2024-09-01-04-12,2024-09-01-18-28,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2032
Baghdad,Iraq,October,اكتوبر,2024-10-01-04-36,2024-10-01-17-47,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2033
Baghdad,Iraq,November,نوفمبر,2024-11-01-04-58,2024-11-01-17-11,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2034
Baghdad,Iraq,December,ديسمبر,2024-12-01-05-21,2024-12-01-16-55,https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2035