date,province,location,rain_intensity_mm_per_hour,source
17/03/2024,بغداد,مطار بغداد,1.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,بغداد,جنوب بغداد,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,الموصل,0.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,ربيعة,1.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,تلعفر,1,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,البعاج,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,زمار,2.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,كركوك,كركوك,1,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,كركوك,مطار كركوك,1,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,صلاح الدين,تكريت,1.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,صلاح الدين,بيجي,2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,صلاح الدين,الطوز,1.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,هيت,0.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,عنه,0.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,القائم,0.7,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,حديثة,1.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,الرمادي,4.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,النخيب,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,الرطبة,0.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ديالي,الخالص,1.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ديالي,خانقين,0.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ديالي,بهرز,0.9,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,واسط,الكوت,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,واسط,الحي,1.5,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,واسط,العزيزية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,واسط,بدرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,كربلاء,كربلاء,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,كربلاء,عين التمر,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,بابل,الحلة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,بابل,النيل,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,النجف,النجف,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الديوانية,الديوانية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ميسان,العمارة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ميسان,على الغربي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ميسان,علي الشرقي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ميسان,قلعة صالح,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ميسان,سيد احمد الرفاعي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ميسان,المشرح,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ذي قار,الناصرية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ذي قار,الرفاعي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ذي قار,الشطرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,المثنى,السماوة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,المثنى,الرميثة,2.5,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,البصرة,مطار البصرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,البصرة,حي الحسين,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,البصرة,الفاو,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,بغداد,مطار بغداد,7.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,بغداد,جنوب بغداد,23,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,نينوى,الموصل,27.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,نينوى,ربيعة,11.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,نينوى,تلعفر,2.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,نينوى,البعاج,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,نينوى,زمار,1.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,كركوك,كركوك,6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,كركوك,مطار كركوك,6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,صلاح الدين,تكريت,2.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,صلاح الدين,بيجي,0.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,صلاح الدين,الطوز,8.9,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الانبار,هيت,10.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الانبار,عنه,2.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الانبار,القائم,2.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الانبار,حديثة,0.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الانبار,الرمادي,3.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الانبار,النخيب,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الانبار,الرطبة,7,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ديالي,الخالص,6.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ديالي,خانقين,23.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ديالي,بهرز,7.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,واسط,الكوت,15,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,واسط,الحي,20.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,واسط,العزيزية,10.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,واسط,بدرة,23.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,كربلاء,كربلاء,5.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,كربلاء,عين التمر,5.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,بابل,الحلة,9.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,بابل,النيل,13.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,النجف,النجف,12.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,الديوانية,الديوانية,6.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ميسان,العمارة,10.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ميسان,على الغربي,32.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ميسان,علي الشرقي,10,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ميسان,قلعة صالح,13.3,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ميسان,سيد احمد الرفاعي,10.5,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ميسان,المشرح,12.5,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ذي قار,الناصرية,7.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ذي قار,الرفاعي,17.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,ذي قار,الشطرة,10.9,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,المثنى,السماوة,9,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,المثنى,الرميثة,11,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,البصرة,مطار البصرة,7.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,البصرة,حي الحسين,12.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
18/03/2024,البصرة,الفاو,7.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,بغداد,مطار بغداد,19.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,بغداد,جنوب بغداد,14.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,نينوى,الموصل,40.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,نينوى,ربيعة,37.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,نينوى,تلعفر,40.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,نينوى,البعاج,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,نينوى,زمار,9.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,كركوك,كركوك,13,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,كركوك,مطار كركوك,13.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,صلاح الدين,تكريت,7.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,صلاح الدين,بيجي,21.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,صلاح الدين,الطوز,11.3,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الانبار,هيت,4.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الانبار,عنه,7.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الانبار,القائم,1.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الانبار,حديثة,8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الانبار,الرمادي,1.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الانبار,النخيب,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الانبار,الرطبة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ديالي,الخالص,9.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ديالي,خانقين,18.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ديالي,بهرز,7.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
