date,province,location,rain_intensity_mm_per_hour,source
19/03/2024,واسط,الكوت,2.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,واسط,الحي,11,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,واسط,العزيزية,2.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,واسط,بدرة,2.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,كربلاء,كربلاء,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,كربلاء,عين التمر,3.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,بابل,الحلة,3.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,بابل,النيل,4.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,النجف,النجف,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,الديوانية,الديوانية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ميسان,العمارة,0.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ميسان,على الغربي,23.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ميسان,علي الشرقي,2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ميسان,قلعة صالح,4.1,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ميسان,سيد احمد الرفاعي,0.5,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ميسان,المشرح,3.7,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ذي قار,الناصرية,3,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ذي قار,الرفاعي,4.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,ذي قار,الشطرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,المثنى,السماوة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,المثنى,الرميثة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,البصرة,مطار البصرة,30.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,البصرة,حي الحسين,21.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
19/03/2024,البصرة,الفاو,38.9,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,بغداد,مطار بغداد,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,بغداد,جنوب بغداد,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,نينوى,الموصل,2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,نينوى,ربيعة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,نينوى,تلعفر,0.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,نينوى,البعاج,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,نينوى,زمار,1.7,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,كركوك,كركوك,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,كركوك,مطار كركوك,0.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,صلاح الدين,تكريت,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,صلاح الدين,بيجي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,صلاح الدين,الطوز,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الانبار,هيت,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الانبار,عنه,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الانبار,القائم,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الانبار,حديثة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الانبار,الرمادي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الانبار,النخيب,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الانبار,الرطبة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ديالي,الخالص,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ديالي,خانقين,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ديالي,بهرز,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,واسط,الكوت,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,واسط,الحي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,واسط,العزيزية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,واسط,بدرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,كربلاء,كربلاء,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,كربلاء,عين التمر,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,بابل,الحلة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,بابل,النيل,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,النجف,النجف,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,الديوانية,الديوانية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ميسان,العمارة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ميسان,على الغربي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ميسان,علي الشرقي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ميسان,قلعة صالح,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ميسان,سيد احمد الرفاعي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ميسان,المشرح,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ذي قار,الناصرية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ذي قار,الرفاعي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,ذي قار,الشطرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,المثنى,السماوة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,المثنى,الرميثة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,البصرة,مطار البصرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,البصرة,حي الحسين,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
20/03/2024,البصرة,الفاو,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,بغداد,مطار بغداد,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,بغداد,جنوب بغداد,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,نينوى,الموصل,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,نينوى,ربيعة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,نينوى,تلعفر,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,نينوى,البعاج,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,نينوى,زمار,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,كركوك,كركوك,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,كركوك,مطار كركوك,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,صلاح الدين,تكريت,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,صلاح الدين,بيجي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,صلاح الدين,الطوز,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الانبار,هيت,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الانبار,عنه,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الانبار,القائم,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الانبار,حديثة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الانبار,الرمادي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الانبار,النخيب,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الانبار,الرطبة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ديالي,الخالص,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ديالي,خانقين,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ديالي,بهرز,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,واسط,الكوت,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,واسط,الحي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,واسط,العزيزية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,واسط,بدرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,كربلاء,كربلاء,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,كربلاء,عين التمر,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,بابل,الحلة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,بابل,النيل,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,النجف,النجف,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,الديوانية,الديوانية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ميسان,العمارة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ميسان,على الغربي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ميسان,علي الشرقي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ميسان,قلعة صالح,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ميسان,سيد احمد الرفاعي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ميسان,المشرح,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ذي قار,الناصرية,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ذي قار,الرفاعي,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,ذي قار,الشطرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,المثنى,السماوة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,المثنى,الرميثة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,البصرة,مطار البصرة,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,البصرة,حي الحسين,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
21/03/2024,البصرة,الفاو,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"